course title,urls,university
BA (Hons) 3D Game Art,https://uel.ac.uk/undergraduate/courses/ba-hons-3d-game-art,School of Arts and Creative Industries
BA (Hons) Acting for Stage and Screen,https://uel.ac.uk/undergraduate/courses/ba-hons-acting-stage-screen,School of Arts and Creative Industries
BA (Hons) Advertising,https://uel.ac.uk/undergraduate/courses/ba-hons-advertising,School of Arts and Creative Industries
BA (Hons) Airline and Airport Management,https://uel.ac.uk/undergraduate/courses/ba-hons-airline-airport-management,Royal Docks School of Business and Law
BA (Hons) Animation,https://uel.ac.uk/undergraduate/courses/ba-hons-animation,School of Arts and Creative Industries
BA (Hons) Commercial Photography,https://uel.ac.uk/undergraduate/courses/ba-hons-commercial-photography,School of Architecture Computing and Engineering
BA (Hons) Creative and Professional Writing,https://uel.ac.uk/undergraduate/courses/ba-hons-creative-professional-writing,School of Arts and Creative Industries
BA (Hons) Creative Writing for Screen,https://uel.ac.uk/undergraduate/courses/ba-hons-creative-writing-screen,School of Arts and Creative Industries
BA (Hons) Criminology and Criminal Justice,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-criminal-justice,Royal Docks School of Business and Law
BA (Hons) Criminology and Law,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-law,Royal Docks School of Business and Law
BA (Hons) Criminology and Psychology,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-psychology,Royal Docks School of Business and Law
BA (Hons) Criminology Criminal Justice Pathway Cyber…,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-criminal-justice-pathway-cyber-criminology,Royal Docks School of Business and Law
BA (Hons) Dance: Urban Practice,https://uel.ac.uk/undergraduate/courses/ba-hons-dance-urban-practice,School of Arts and Creative Industries
BA (Hons) Design Interactions,https://uel.ac.uk/undergraduate/courses/ba-hons-design-interactions,School of Architecture Computing and Engineering
"BA (Hons) Drama, Applied Theatre and Performance",https://uel.ac.uk/undergraduate/courses/ba-hons-drama-applied-theatre-performance,School of Arts and Creative Industries
BA (Hons) Early Childhood Studies Online,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-studies-online,School of Education and Communities
BA (Hons) Early Childhood Studies,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-studies,School of Education and Communities
BA (Hons) Early Childhood with Montessori Pedagogy (Level 6…,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-montessori-pedagogy-level-6-top-up,School of Education and Communities
BA (Hons) Education Studies Online,https://uel.ac.uk/undergraduate/courses/ba-hons-education-studies-online,School of Education and Communities
BA (Hons) Education Studies,https://uel.ac.uk/undergraduate/courses/ba-hons-education-studies,School of Education and Communities
BA (Hons) Education Top Up Online,https://uel.ac.uk/undergraduate/courses/ba-hons-education-top-online,School of Education and Communities
BA (Hons) Education Top Up,https://uel.ac.uk/undergraduate/courses/ba-hons-education-top,School of Education and Communities
BA (Hons) Esports top up,https://uel.ac.uk/undergraduate/courses/ba-hons-esports-top,Royal Docks School of Business and Law
BA (Hons) Events Management with Entrepreneurship,https://uel.ac.uk/undergraduate/courses/ba-hons-events-management-entrepreneurship,Royal Docks School of Business and Law
BA (Hons) Events Management,https://uel.ac.uk/undergraduate/courses/ba-hons-events-management,Royal Docks School of Business and Law
BA (Hons) Fashion Brand Management,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-brand-management,School of Arts and Creative Industries
"BA (Hons) Fashion Buying, Merchandising & Innovation",https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-buying-merchandising-innovation,School of Arts and Creative Industries
BA (Hons) Fashion Culture and Business,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-culture-business,School of Arts and Creative Industries
BA (Hons) Fashion Design,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-design,School of Arts and Creative Industries
BA (Hons) Fashion Journalism,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-journalism,School of Arts and Creative Industries
BA (Hons) Fashion Marketing,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-marketing,School of Arts and Creative Industries
BA (Hons) Fashion Product Management and Innovation,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-product-management-innovation,School of Arts and Creative Industries
BA (Hons) Fashion Studies Top Up,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-studies-top,School of Arts and Creative Industries
BA (Hons) Film,https://uel.ac.uk/undergraduate/courses/ba-hons-film,School of Arts and Creative Industries
BA (Hons) Fine Art Technology,https://uel.ac.uk/undergraduate/courses/ba-hons-fine-art-technology,School of Architecture Computing and Engineering
BA (Hons) Fine Art,https://uel.ac.uk/undergraduate/courses/ba-hons-fine-art,School of Architecture Computing and Engineering
BA (Hons) Game Design,https://uel.ac.uk/undergraduate/courses/ba-hons-game-design,School of Arts and Creative Industries
BA (Hons) Graphic Design and Illustration (Visual…,https://uel.ac.uk/undergraduate/courses/ba-hons-graphic-design-illustration-visual-communication,School of Architecture Computing and Engineering
BA (Hons) Graphic Design,https://uel.ac.uk/undergraduate/courses/ba-hons-graphic-design,School of Architecture Computing and Engineering
BA (Hons) Hospitality Management with Entrepreneurship,https://uel.ac.uk/undergraduate/courses/ba-hons-hospitality-management-entrepreneurship,Royal Docks School of Business and Law
BA (Hons) Hospitality Management with Revenue Analytics,https://uel.ac.uk/undergraduate/courses/ba-hons-hospitality-management-revenue-analytics,Royal Docks School of Business and Law
BA (Hons) Hospitality Management,https://uel.ac.uk/undergraduate/courses/ba-hons-hospitality-management,Royal Docks School of Business and Law
BA (Hons) Illustration and Animation,https://uel.ac.uk/undergraduate/courses/ba-hons-illustration-animation,School of Architecture Computing and Engineering
BA (Hons) Illustration,https://uel.ac.uk/undergraduate/courses/ba-hons-illustration,School of Architecture Computing and Engineering
BA (Hons) Interior Architecture,https://uel.ac.uk/undergraduate/courses/ba-hons-interior-architecture,School of Architecture Computing and Engineering
BA (Hons) Interior Design,https://uel.ac.uk/undergraduate/courses/ba-hons-interior-design,School of Architecture Computing and Engineering
BA (Hons) International Fashion Business,https://uel.ac.uk/undergraduate/courses/ba-hons-international-fashion-business,School of Arts and Creative Industries
BA (Hons) Journalism,https://uel.ac.uk/undergraduate/courses/ba-hons-journalism,School of Arts and Creative Industries
BA (Hons) Media and Communication,https://uel.ac.uk/undergraduate/courses/ba-hons-media-communication,School of Arts and Creative Industries
BA (Hons) Media and Immersive Production,https://uel.ac.uk/undergraduate/courses/ba-hons-media-immersive-production,School of Arts and Creative Industries
BA (Hons) Media Production,https://uel.ac.uk/undergraduate/courses/ba-hons-media-production,School of Arts and Creative Industries
BA (Hons) Music Journalism,https://uel.ac.uk/undergraduate/courses/ba-hons-music-journalism,School of Arts and Creative Industries
BA (Hons) Music Performance and Production,https://uel.ac.uk/undergraduate/courses/ba-hons-music-performance-production,School of Arts and Creative Industries
BA (Hons) Music Technology and Production,https://uel.ac.uk/undergraduate/courses/ba-hons-music-technology-production,School of Arts and Creative Industries
BA (Hons) Performing Arts,https://uel.ac.uk/undergraduate/courses/ba-hons-performing-arts,School of Arts and Creative Industries
BA (Hons) Photography,https://uel.ac.uk/undergraduate/courses/ba-hons-photography,School of Architecture Computing and Engineering
BA (Hons) Politics and International Relations,https://uel.ac.uk/undergraduate/courses/ba-hons-politics-international-relations,School of Education and Communities
BA (Hons) Primary Education with QTS,https://uel.ac.uk/undergraduate/courses/ba-hons-primary-education-qts,School of Education and Communities
BA (Hons) Product Design,https://uel.ac.uk/undergraduate/courses/ba-hons-product-design,School of Architecture Computing and Engineering
BA (Hons) Psychosocial Studies,https://uel.ac.uk/undergraduate/courses/ba-hons-psychosocial-studies,School of Education and Communities
BA (Hons) Social Media,https://uel.ac.uk/undergraduate/courses/ba-hons-social-media,School of Arts and Creative Industries
BA (Hons) Social Work,https://uel.ac.uk/undergraduate/courses/ba-hons-social-work,School of Education and Communities
BA (Hons) Sociology with Criminology,https://uel.ac.uk/undergraduate/courses/ba-hons-sociology-criminology,School of Education and Communities
BA (Hons) Sociology,https://uel.ac.uk/undergraduate/courses/ba-hons-sociology,School of Education and Communities
BA (Hons) Sound and Music for Games,https://uel.ac.uk/undergraduate/courses/ba-hons-sound-music-games,School of Arts and Creative Industries
BA (Hons) Sound and Music for Media,https://uel.ac.uk/undergraduate/courses/ba-hons-sound-music-media,School of Arts and Creative Industries
BA (Hons) Sound and Music for Theatre,https://uel.ac.uk/undergraduate/courses/ba-hons-sound-music-theatre,School of Arts and Creative Industries
BA (Hons) Special Education Online,https://uel.ac.uk/undergraduate/courses/ba-hons-special-education-online,School of Education and Communities
BA (Hons) Special Education,https://uel.ac.uk/undergraduate/courses/ba-hons-special-education,School of Education and Communities
BA (Hons) Sport Business Management,https://uel.ac.uk/undergraduate/courses/ba-hons-sport-business-management,Royal Docks School of Business and Law
BA (Hons) Sports Journalism,https://uel.ac.uk/undergraduate/courses/ba-hons-sports-journalism,School of Arts and Creative Industries
BA (Hons) Sustainable Development and Social Change,https://uel.ac.uk/undergraduate/courses/ba-hons-sustainable-development-social-change,School of Education and Communities
BA (Hons) Sustainable Fashion and Management,https://uel.ac.uk/undergraduate/courses/ba-hons-sustainable-fashion-management,School of Arts and Creative Industries
BA (Hons) Tourism Management with Entrepreneurship,https://uel.ac.uk/undergraduate/courses/ba-hons-tourism-management-entrepreneurship,Royal Docks School of Business and Law
BA (Hons) Tourism Management,https://uel.ac.uk/undergraduate/courses/ba-hons-tourism-management,Royal Docks School of Business and Law
BA (Hons) Youth Work,https://uel.ac.uk/undergraduate/courses/ba-hons-youth-work,School of Education and Communities
BEng (Hons) Aeronautical Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-aeronautical-engineering,School of Architecture Computing and Engineering
BEng (Hons) Biomedical Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-biomedical-engineering,School of Architecture Computing and Engineering
BEng (Hons) Civil Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-civil-engineering,School of Architecture Computing and Engineering
BEng (Hons) Electrical and Electronic Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-electrical-electronic-engineering,School of Architecture Computing and Engineering
BEng (Hons) Engineering Management,https://uel.ac.uk/undergraduate/courses/beng-hons-engineering-management,School of Architecture Computing and Engineering
BEng (Hons) General Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-general-engineering,School of Architecture Computing and Engineering
BEng (Hons) Mechanical Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-mechanical-engineering,School of Architecture Computing and Engineering
BEng (Hons) Mechatronics and Computer Systems Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-mechatronics-computer-systems-engineering,School of Architecture Computing and Engineering
BEng (Hons) Mechatronics Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-mechatronics-engineering,School of Architecture Computing and Engineering
BEng (Hons) Product Design Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-product-design-engineering,School of Architecture Computing and Engineering
BEng (Hons) Railway Engineering,https://uel.ac.uk/undergraduate/courses/beng-hons-railway-engineering,School of Architecture Computing and Engineering
BSc (Hons) Accounting and Finance (FinTech pathway),https://uel.ac.uk/undergraduate/courses/bsc-hons-accounting-finance-fintech-pathway,Royal Docks School of Business and Law
BSc (Hons) Accounting and Finance,https://uel.ac.uk/undergraduate/courses/bsc-hons-accounting-finance,Royal Docks School of Business and Law
BSc (Hons) Applied Computing (Top-Up),https://uel.ac.uk/undergraduate/courses/bsc-hons-applied-computing-top,School of Architecture Computing and Engineering
BSc (Hons) Architectural Design Technology (Accredited By…,https://uel.ac.uk/undergraduate/courses/bsc-hons-architectural-design-technology-accredited-ciat,School of Architecture Computing and Engineering
BSc (Hons) Architecture (ARB/RIBA),https://uel.ac.uk/undergraduate/courses/bsc-hons-architecture-arbriba,School of Architecture Computing and Engineering
BSc (Hons) Banking and Finance,https://uel.ac.uk/undergraduate/courses/bsc-hons-banking-finance,Royal Docks School of Business and Law
BSc (Hons) Biochemistry and Biotechnology,https://uel.ac.uk/undergraduate/courses/bsc-hons-biochemistry-biotechnology,School of Health Sport and Bioscience
BSc (Hons) Biomedical Science,https://uel.ac.uk/undergraduate/courses/bsc-hons-biomedical-science,School of Health Sport and Bioscience
BSc (Hons) Business Management,https://uel.ac.uk/undergraduate/courses/bsc-hons-business-management,Royal Docks School of Business and Law
BSc (Hons) Chemistry,https://uel.ac.uk/undergraduate/courses/bsc-hons-chemistry,School of Health Sport and Bioscience
BSc (Hons) Civil Engineering,https://uel.ac.uk/undergraduate/courses/bsc-hons-civil-engineering,School of Architecture Computing and Engineering
BSc (Hons) Clinical and Community Psychology,https://uel.ac.uk/undergraduate/courses/bsc-hons-clinical-community-psychology,School of Psychology
BSc (Hons) Cloud Computing,https://uel.ac.uk/undergraduate/courses/bsc-hons-cloud-computing,School of Architecture Computing and Engineering
BSc (Hons) Computer Science (Web and Mobile Technologies),https://uel.ac.uk/undergraduate/courses/bsc-hons-computer-science-web-mobile-technologies,School of Architecture Computing and Engineering
BSc (Hons) Computer Science with Education and Qualified…,https://uel.ac.uk/undergraduate/courses/bsc-hons-computer-science-education-qualified-teacher-status,School of Architecture Computing and Engineering
BSc (Hons) Computer Science,https://uel.ac.uk/undergraduate/courses/bsc-hons-computer-science,School of Architecture Computing and Engineering
BSc (Hons) Computing for Business,https://uel.ac.uk/undergraduate/courses/bsc-hons-computing-business,School of Architecture Computing and Engineering
BSc (Hons) Construction Management,https://uel.ac.uk/undergraduate/courses/bsc-hons-construction-management,School of Architecture Computing and Engineering
BSc (Hons) Counselling,https://uel.ac.uk/undergraduate/courses/bsc-hons-counselling,School of Psychology
BSc (Hons) Cyber Security and Networks,https://uel.ac.uk/undergraduate/courses/bsc-hons-cyber-security-networks,School of Architecture Computing and Engineering
BSc (Hons) Cyberpsychology,https://uel.ac.uk/undergraduate/courses/bsc-hons-cyberpsychology,School of Psychology
BSc (Hons) Data Science and Artificial Intelligence,https://uel.ac.uk/undergraduate/courses/bsc-hons-data-science-artificial-intelligence,School of Architecture Computing and Engineering
BSc (Hons) Economics (pathway FinTech),https://uel.ac.uk/undergraduate/courses/bsc-hons-economics-pathway-fintech,Royal Docks School of Business and Law
BSc (Hons) Economics,https://uel.ac.uk/undergraduate/courses/bsc-hons-economics,Royal Docks School of Business and Law
BSc (Hons) Environmental Psychology,https://uel.ac.uk/undergraduate/courses/bsc-hons-environmental-psychology,School of Psychology
BSc (Hons) Forensic Psychology,https://uel.ac.uk/undergraduate/courses/bsc-hons-forensic-psychology,School of Psychology
BSc (Hons) Game Programming,https://uel.ac.uk/undergraduate/courses/bsc-hons-game-programming,School of Arts and Creative Industries
BSc (Hons) Human Resource Management,https://uel.ac.uk/undergraduate/courses/bsc-hons-human-resource-management,Royal Docks School of Business and Law
BSc (Hons) International Business Management Top-up,https://uel.ac.uk/undergraduate/courses/bsc-hons-international-business-management-top,Royal Docks School of Business and Law
BSc (Hons) International Sport with Enterprise (West Ham…,https://uel.ac.uk/undergraduate/courses/bsc-hons-international-sport-enterprise-west-ham-united-foundation,School of Health Sport and Bioscience
BSc (Hons) Marketing Data Analytics,https://uel.ac.uk/undergraduate/courses/bsc-hons-marketing-data-analytics,Royal Docks School of Business and Law
BSc (Hons) Marketing,https://uel.ac.uk/undergraduate/courses/bsc-hons-marketing,Royal Docks School of Business and Law
BSc (Hons) Medical Physiology,https://uel.ac.uk/undergraduate/courses/bsc-hons-medical-physiology,School of Health Sport and Bioscience
BSc (Hons) Midwifery,https://uel.ac.uk/undergraduate/courses/bsc-hons-midwifery,School of Health Sport and Bioscience
BSc (Hons) Nursing (Adult),https://uel.ac.uk/undergraduate/courses/bsc-hons-nursing-adult,School of Health Sport and Bioscience
BSc (Hons) Occupational Therapy,https://uel.ac.uk/undergraduate/courses/bsc-hons-occupational-therapy,School of Health Sport and Bioscience
BSc (Hons) Pharmaceutical Science,https://uel.ac.uk/undergraduate/courses/bsc-hons-pharmaceutical-science,School of Health Sport and Bioscience
BSc (Hons) Pharmacology,https://uel.ac.uk/undergraduate/courses/bsc-hons-pharmacology,School of Health Sport and Bioscience
BSc (Hons) Physiotherapy,https://uel.ac.uk/undergraduate/courses/bsc-hons-physiotherapy,School of Health Sport and Bioscience
BSc (Hons) Podiatry,https://uel.ac.uk/undergraduate/courses/bsc-hons-podiatry,School of Health Sport and Bioscience
BSc (Hons) Policing Studies (Top-Up),https://uel.ac.uk/undergraduate/courses/bsc-hons-policing-studies-top,Royal Docks School of Business and Law
BSc (Hons) Professional Policing,https://uel.ac.uk/undergraduate/courses/bsc-hons-professional-policing,Royal Docks School of Business and Law
BSc (Hons) Psychology (Distance Learning),https://uel.ac.uk/undergraduate/courses/bsc-hons-psychology-distance-learning,School of Psychology
BSc (Hons) Psychology with Child Development,https://uel.ac.uk/undergraduate/courses/bsc-hons-psychology-child-development,School of Psychology
BSc (Hons) Psychology with Positive Education,https://uel.ac.uk/undergraduate/courses/bsc-hons-psychology-positive-education,School of Psychology
BSc (Hons) Psychology,https://uel.ac.uk/undergraduate/courses/bsc-hons-psychology,School of Psychology
BSc (Hons) Public Health,https://uel.ac.uk/undergraduate/courses/bsc-hons-public-health,School of Health Sport and Bioscience
BSc (Hons) Quantity Surveying and Commercial Management,https://uel.ac.uk/undergraduate/courses/bsc-hons-quantity-surveying-commercial-management,School of Architecture Computing and Engineering
BSc (Hons) Sport and Exercise Science,https://uel.ac.uk/undergraduate/courses/bsc-hons-sport-exercise-science,School of Health Sport and Bioscience
"BSc (Hons) Sport, Physical Education and Development",https://uel.ac.uk/undergraduate/courses/bsc-hons-sport-physical-education-development,School of Health Sport and Bioscience
BSc (Hons) Sports Coaching and Performance (West Ham United…,https://uel.ac.uk/undergraduate/courses/bsc-hons-sports-coaching-performance-west-ham-united-foundation,School of Health Sport and Bioscience
BSc (Hons) Sports Therapy,https://uel.ac.uk/undergraduate/courses/bsc-hons-sports-therapy,School of Health Sport and Bioscience
BSc (Hons) Surveying and Mapping Sciences,https://uel.ac.uk/undergraduate/courses/bsc-hons-surveying-mapping-sciences,School of Architecture Computing and Engineering
